# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StorageLockContext.competingThreads.max,1776231986115000000,1776232038701000000,0
FilePageCache.capacityInBytes,1776231986115000000,1776232038701000000,629145600
FilePageCache.maxCacheSizeInBytes,1776231986115000000,1776232038701000000,629153792
FilePageCache.pageLoadsAboveSizeThreshold,1776231986115000000,1776232038701000000,3
FilePageCache.pageLoads,1776231986115000000,1776232038701000000,607
FilePageCache.uncachedFileAccess,1776231986115000000,1776232038701000000,835
FileChannelInterruptsRetryer.totalRetriedAttempts,1776231986115000000,1776232038701000000,0
DirectByteBufferAllocator.misses,1776231986115000000,1776232038701000000,602
workspaceModel.cachedValueWithParameters.total.get.count,1776231986115000000,1776232038701000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1776231986115000000,1776232038701000000,32
workspaceModel.workspaceFileIndexData.getPackageName.ms,1776231986115000000,1776232038701000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1776231986115000000,1776232038701000000,184
workspaceModel.updates.count,1776231986115000000,1776232038701000000,3
workspaceModel.updates.precise.ms,1776231986115000000,1776232038701000000,2
workspaceModel.init.bridges.ms,1776231986115000000,1776232038701000000,3
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1776231986115000000,1776232038701000000,0
workspaceModel.full.replace.project.model.ms,1776231986115000000,1776232038701000000,29
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1776231986115000000,1776232038701000000,5
workspaceModel.cachedValue.from.cache.count,1776231986115000000,1776232038701000000,143
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1776231986115000000,1776232038701000000,3
workspaceModel.replace.project.model.ms,1776231986115000000,1776232038701000000,6
workspaceModel.cachedValue.total.get.count,1776231986115000000,1776232038701000000,163
workspaceModel.cachedValue.clear.count,1776231986115000000,1776232038701000000,2
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1776231986115000000,1776232038701000000,40
workspaceModel.on.before.changed.ms,1776231986115000000,1776232038701000000,109
workspaceModel.workspaceFileIndexData.init.ms,1776231986115000000,1776232038701000000,1
workspaceModel.on.changed.ms,1776231986115000000,1776232038701000000,31
workspaceModel.check.recursive.update.ms,1776231986115000000,1776232038701000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1776231986115000000,1776232038701000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1776231986115000000,1776232038701000000,0
workspaceModel.cachedValue.calculated.count,1776231986115000000,1776232038701000000,20
workspaceModel.to.snapshot.ms,1776231986115000000,1776232038701000000,1
workspaceModel.initializing.ms,1776231986115000000,1776232038701000000,1
workspaceModel.updates.ms,1776231986115000000,1776232038701000000,122
workspaceModel.workspaceFileIndexData.instances.count,1776231986115000000,1776232038701000000,1
